parameter,zipf_K,exponential_K,logistic_K
1.79,0.31264300859269,0.713057490513487,0.0027682371148057745
1.8,0.31690713643358764,0.7155076135700523,0.002768333810612446
1.81,0.3211626783412893,0.7179402492240208,0.002768429469304582
1.82,0.32540900698623076,0.7203554636980835,0.0027685241089283313
1.83,0.32964551887793175,0.7227533239994549,0.002768617747147121
1.84,0.3338716338986177,0.7251338978987993,0.0027687104012516996
1.85,0.33808679482255044,0.7274972539093376,0.002768802088169862
1.86,0.342290466823381,0.7298434612661273,0.0027688928244758463
1.87,0.34648213697168817,0.7321725899055349,0.0027689826263994177
1.8800000000000001,0.3506613137247191,0.7344847104448832,0.0027690715098346737
1.8900000000000001,0.3548275264102241,0.736779894162293,0.002769159490348534
1.9000000000000001,0.35898032470613395,0.7390582129767178,0.00276924658318899
1.9100000000000001,0.36311927811770167,0.7413197394281628,0.002769332803293058
1.92,0.3672439754536088,0.74356454665811,0.0027694181652945073
1.93,0.37135402430241454,0.7457927083901353,0.002769502683531314
1.94,0.3754490505106107,0.7480042989107275,0.002769586372052915
1.95,0.37952869766343267,0.7501993930503069,0.002769669244627201
1.96,0.3835926265694836,0.7523780661644535,0.0027697513147473193
1.97,0.38764051475011035,0.7545403941153337,0.0027698325956382473
1.98,0.3916720559343975,0.7566864532533414,0.002769913100263176
1.99,0.3956869595605364,0.7588163203989398,0.0027699928413296958
2.0,0.3996849502842548,0.7609300728247225,0.002770071831295796
2.0100000000000002,0.40366576749491184,0.7630277882376768,0.0027701500823756812
2.02,0.40762916483978323,0.7651095447616656,0.00277022760654542
2.0300000000000002,0.4115749097569971,0.7671754209201221,0.0027703044155484146
2.04,0.4155027830175159,0.7692254956189533,0.002770380520900728
2.05,0.41941257827649675,0.7712598481296673,0.0027704559338962405
2.06,0.42330410163431054,0.7732785580727107,0.002770530665611657
2.07,0.4271771712074395,0.775281705401022,0.002770604726911382
2.08,0.4310316167094405,0.7772693703838064,0.0027706781284522427
2.09,0.4348672790421027,0.779241633590523,0.0027707508806880817
2.1,0.4386840098968875,0.7811985758750939,0.0027708229938742286
2.11,0.4424816713667208,0.7831402783603271,0.002770894478071829
2.12,0.4462601355681445,0.7850668224225615,0.0027709653431520725
2.13,0.45001928427383026,0.786978289676528,0.002771035598800289
2.14,0.45375900855541157,0.7888747619604262,0.0027711052545199414
2.15,0.4574792084365772,0.790756321321223,0.002771174319636512
2.16,0.4611797925563373,0.7926230500001679,0.0027712428033012672
2.17,0.4648606778423624,0.7944750304185233,0.0027713107144949484
2.18,0.4685217891942673,0.7963123451635142,0.002771378062031338
2.19,0.4721630591767064,0.798135076974493,0.0027714448545607512
2.2,0.4757844277221248,0.7999433087293223,0.0027715111005734254
2.21,0.4793858418429995,0.8017371234309693,0.002771576808402831
2.22,0.48296725535340024,0.8035166041943211,0.0027716419862288772
2.23,0.48652862859968116,0.805281834233205,0.002771706642081066
2.24,0.49006992820011325,0.8070328968476357,0.002771770783841536
2.25,0.49359112679326106,0.8087698754112566,0.0027718344192480537
2.2600000000000002,0.49709220279489885,0.8104928533590121,0.0027718975558969094
2.27,0.500573140163261,0.8122019141750151,0.0027719602012457665
2.2800000000000002,0.5040339281724164,0.8138971413806323,0.002772022362616403
2.29,0.5074745611935567,0.8155786185227768,0.002772084047197429
2.3000000000000003,0.5108950384839823,0.8172464291624054,0.0027721452620469117
2.31,0.5142953639835774,0.8189006568632248,0.002772206014094934
2.32,0.5176755461185623,0.8205413851806006,0.0027722663101461134
2.33,0.5210355976123026,0.822168697650674,0.0027723261568820476
2.34,0.5243755353029755,0.8237826777796743,0.002772385560863695
2.35,0.527695379967881,0.8253834090334392,0.002772444528533718
2.36,0.5309951561541897,0.8269709748271308,0.00277250306621876
2.37,0.534274892015928,0.8285454585151514,0.002772561180131667
2.38,0.5375346191569965,0.8301069433812543,0.002772618876373673
2.39,0.5407743724800331,0.8316555126288526,0.0027726761609365227
2.4,0.543994190040914,0.8331912493715207,0.002772733039704548
2.41,0.5471941129087224,0.8347142366236847,0.002772789518456707
2.42,0.5503741850309792,0.8362245572915095,0.0027728456028685636
2.43,0.5535344531039723,0.8377222941639692,0.002772901298514238
2.44,0.5566749664479967,0.8392075299041091,0.0027729566108683048
2.45,0.5597957768873406,0.8406803470404892,0.0027730115453076507
2.46,0.5628969386348416,0.8421408279588151,0.0027730661071133033
2.47,0.5659785081808602,0.8435890548937498,0.002773120301472194
2.48,0.5690405441865016,0.845025109920905,0.0027731741334789243
2.49,0.5720831073809384,0.8464490749490118,0.002773227608137452
2.5,0.5751062604626803,0.8478610317122692,0.002773280730362771
2.5100000000000002,0.5781100680046524,0.8492610617628656,0.0027733335049825434
2.52,0.5810945963629279,0.8506492464636766,0.002773385936738701
2.5300000000000002,0.5840599135889952,0.852025666981128,0.002773438030289016
2.54,0.5870060893454193,0.8533904042782389,0.002773489790208635
2.5500000000000003,0.5899331948247625,0.8547435391078197,0.002773541220991583
2.56,0.5928413026716561,0.856085152005847,0.00277359232705224
2.57,0.5957304869078959,0.8574153232849949,0.0027736431127267855
2.58,0.598600822860443,0.8587341330283336,0.002773693582274612
2.59,0.6014523870922232,0.8600416610831818,0.0027737437398797156
2.6,0.6042852573356229,0.861337987055126,0.002773793589652058
2.61,0.6070995124285608,0.862623190302187,0.002773843135628892
2.62,0.6098952322530595,0.8638973499291477,0.0027738923817760774
2.63,0.6126724976761969,0.865160544782028,0.0027739413319893603
2.64,0.6154313904933668,0.866412853442715,0.002773989990095631
2.65,0.6181719933737378,0.8676543542237395,0.0027740383598541525
2.66,0.620894389807844,0.8688851251631969,0.002774086444957778
2.67,0.6235986640572131,0.870105244019817,0.00277413424903413
2.68,0.6262849011059554,0.871314788268175,0.002774181775646769
2.69,0.6289531866142372,0.8725138350940395,0.0027742290282963327
2.7,0.6316036068735693,0.8737024613898677,0.002774276010421659
2.71,0.6342362487638284,0.8748807437504289,0.002774322725400885
2.72,0.6368511997119601,0.8760487584685688,0.00277436917655252
2.73,0.639448547652278,0.8772065815311038,0.002774415367136517
2.74,0.6420283809883186,0.8783542886148481,0.0027744613003552986
2.75,0.644590788556171,0.8794919550827702,0.0027745069793547916
2.7600000000000002,0.6471358595892396,0.8806196559802757,0.002774552407225413
2.77,0.649663683684371,0.8817374660316155,0.0027745975870030674
2.7800000000000002,0.6521743507693016,0.88284545963642,0.002774642521670103
2.79,0.6546679510713718,0.883943710866351,0.0027746872141562683
